time,<1,1,2,3,4,5,6,7,8,9,10,20,21,>40,SafeLow (<30m),Standard (<5m),Fast (<2m),
14-42-26,0,0.2,33.3,2.3,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
14-42-59,0,0.2,33.3,2.3,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
14-43-32,0,0.2,34,2.3,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
14-44-5,0,0.2,34,2.3,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
14-44-39,0,0.2,33.7,2.3,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
14-50-7,0,0.2,31.9,2,0.9,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,2.1,2.1,4,
14-50-41,0,0.2,31.9,2,0.9,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,2.1,2.1,4,
14-51-14,0,0.2,32.5,2,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
14-51-47,0,0.2,32.5,2,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
14-52-20,0,0.2,32.5,2,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
14-52-54,0,0.2,32.8,2.1,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
14-53-27,0,0.2,32.8,2.1,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
14-54-0,0,0.2,32.8,2.1,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
14-54-33,0,0.2,32.1,2,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
14-55-6,0,0.2,32.6,2.1,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
14-55-40,0,0.2,32.6,2.1,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,3,
14-56-14,0,0.2,32.6,2.1,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,3,
14-56-47,0,0.2,31.6,2,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
14-57-20,0,0.2,31.6,2,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
14-57-53,0,0.2,31.6,2,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
14-58-26,0,0.2,31.7,2,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
14-58-59,0,0.2,31.7,2,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
14-59-32,0,0.2,32,2.1,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
15-0-6,0,0.2,32,2.1,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
15-0-39,0,0.2,32,2.1,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
15-5-58,0,0.2,30.1,2.1,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
15-6-31,0,0.2,30.1,2.1,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
15-7-4,0,0.2,30.1,2.1,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
15-7-38,0,0.2,30.1,2.1,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
15-8-11,0,0.2,30,2.1,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
15-8-43,0,0.2,30,2.1,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.6,4,
15-9-16,0,0.2,30.1,2.1,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.55,4,
15-9-50,0,0.2,30.1,2.1,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.55,4,
15-10-24,0,0.2,29.6,2.1,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.3,4,
15-10-56,0,0.2,29.6,2.1,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
15-11-29,0,0.2,29.6,2.1,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
15-12-3,0,0.2,28.9,2.1,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
15-12-36,0,0.2,28.7,2.1,1,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
15-13-9,0,0.2,28.7,2.1,1,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
15-13-45,0,0.2,28.1,2.1,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
15-14-18,0,0.2,28.1,2.1,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
15-14-51,0,0.2,28.1,2.1,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
15-15-25,0,0.2,28.1,2.1,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
15-15-58,0,0.2,27.7,1.9,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
15-16-31,0,0.2,26.5,1.9,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
15-18-31,0,0.2,21.5,1.8,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
15-19-4,0,0.2,21.5,1.8,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
15-19-38,0,0.2,21.2,1.8,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
15-20-10,0,0.2,21.2,1.8,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
15-21-24,0,0.2,21.6,1.8,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
15-21-57,0,0.2,21.6,1.8,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
15-22-32,0,0.2,20.9,1.9,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
15-23-5,0,0.2,20.9,1.9,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,2.1,4,
15-23-39,0,0.2,19.9,1.9,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2.1,4,
15-24-11,0,0.2,19.9,1.9,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2.1,4,
15-24-45,0,0.2,20.1,1.9,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2.1,4,
15-25-18,0,0.2,20.1,1.9,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2.1,4,
15-25-50,0,0.2,18.4,1.9,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2.1,4,
15-26-24,0,0.2,18.3,1.9,1,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2.1,4,
15-26-56,0,0.2,18.3,1.9,1,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2.1,4,
15-27-29,0,0.2,18.3,1.9,1,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2.05,4,
15-28-3,0,0.2,18.3,1.9,1,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,4,
15-28-35,0,0.2,18.3,1.9,1,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,4.1,
15-29-8,0,0.2,18.2,1.9,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,4.1,
15-29-40,0,0.2,18.2,1.9,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,4,
15-30-13,0,0.2,18,1.9,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,4,
15-30-45,0,0.2,18,1.9,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2.05,4,
15-31-18,0,0.2,17.3,1.9,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2.1,4,
15-31-52,0,0.2,17.2,1.9,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2.1,4,
15-35-27,0,126.6,15.6,1.8,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,4,
15-36-0,0,126.6,15.6,1.8,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,4,
15-36-32,0,127.5,14.8,1.8,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,4,
15-37-5,0,127.1,14.3,1.6,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,4,
15-37-38,0,127.1,14.3,1.6,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,4,
15-38-10,0,127.1,14.3,1.6,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,4.1,
15-38-43,0,127.8,13.9,1.6,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,4.1,
15-39-15,0,126.9,13.2,1.6,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,4.1,
15-39-50,0,127.4,12.7,1.6,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,4.1,
15-40-23,0,127.4,12.7,1.6,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,4.1,
15-40-56,0,125.2,12.3,1.6,0.9,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,2,2,4.1,
15-41-28,0,125.2,12.3,1.6,0.9,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,2,2,4.1,
15-42-1,0,123.2,11.6,1.5,0.9,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,2,2,4.1,
15-42-34,0,173.9,11.5,1.5,0.9,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,2,2,4,
15-43-6,0,173.9,11.5,1.5,0.9,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,2,2,4,
15-43-40,0,173.9,11.5,1.5,0.9,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,2,2,4.1,
15-44-14,0,170,10.8,1.5,0.9,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,2,2,4.1,
15-44-46,0,184,10.6,1.5,0.9,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,2,2,4.1,
15-45-19,0,184,10.6,1.5,0.9,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,2,2,4.4,
15-45-52,0,184,10.5,1.5,0.9,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,2,2,4.1,
